Species	Family	Area.Km2	Distribution	long.min	long.max	lat.min	lat.max	Long.average	Dif.Long	Lat.average	Area.Km2	Area	Dif.Lat	N.ecoregions	Ecoregion																	
Phyllospadix japonicus	Zosteraceae	390783,8837	Temperate	117,5215302	140,0561753	32,30428362	40,95294571	128,7888528	22,5346451	36,62861467	390783,8837	3,907838837	8,64866209	3	East China Sea,Sea of Japan/East Sea,Yellow Sea																	
Phyllospadix scouleri	Zosteraceae	672637,8855	Temperate	-137,5409853	-109,3161317	21,89098825	59,48314667	-123,4285585	28,2248536	40,68706746	672637,8855	6,726378855	37,59215842	11	Cortezian,Gulf of Alaska,Magdalena Transition,Mexican Tropical Pacific,North American Pacific Fijordland,Northern California,Oregon, Washington, Vancouver Coast and Shelf,Puget Trough/Georgia Basin,Southern California Bight																	
Phyllospadix serrulatus	Zosteraceae	709127,0159	Temperate	-161,1963305	-121,4191208	41,62808216	61,50514984	-141,3077257	39,7772097	51,566616	709127,0159	7,091270159	19,87706768	6	Gulf of Alaska,North American Pacific Fijordland,Oregon, Washington, Vancouver Coast and Shelf,Puget Trough/Georgia Basin																	
Phyllospadix torreyi	Zosteraceae	465695,903	Temperate	-128,5941395	-109,3161317	21,89098825	52,43976975	-118,9551356	19,2780078	37,165379	465695,903	4,65695903	30,5487815	10	Cortezian,Magdalena Transition,Mexican Tropical Pacific,North American Pacific Fijordland,Northern California,Oregon, Washington, Vancouver Coast and Shelf,Puget Trough/Georgia Basin,Southern California Bight																	
Posidonia angustifolia	Posidoniaceae	731291,8928	Temperate	112,0127412	149,3788755	-41,68168549	-24,41273347	130,6958084	37,3661343	-33,04720948	731291,8928	7,312918928	17,26895202	8	Bassian,Cape Howe,Great Australian Bight,Houtman,Leeuwin,Shark Bay,South Australian Gulfs,Western Bassian																	
Posidonia australis	Posidoniaceae	869360,2269	Temperate	112,0127412	154,5098256	-43,00068404	-23,83456747	133,2612834	42,4970844	-33,41762576	869360,2269	8,693602269	19,16611657	10	Bassian,Cape Howe,Great Australian Bight,Houtman,Leeuwin,Manning-Hawkesbury,Shark Bay,South Australian Gulfs,Tweed-Moreton,Western Bassian																	
Posidonia denhartogii	Posidoniaceae	426281,3249	Temperate	114,0769046	140,2244881	-37,84578349	-31,46841621	127,1506964	26,1475835	-34,65709985	426281,3249	4,262813249	6,37736728	5	Great Australian Bight,Houtman,Leeuwin,South Australian Gulfs,Western Bassian																	
Posidonia kirkmanii	Posidoniaceae	149909,2549	Temperate	114,1581702	125,2777737	-36,30015447	-32,67940386	119,717972	11,1196035	-34,48977917	149909,2549	1,499092549	3,62075061	2	Great Australian Bight,Leeuwin																	
Posidonia oceanica	Posidoniaceae	246590,851	Temperate	-5,2002175	34,50656769	30,81744661	45,70034633	14,6531751	39,70678519	38,25889647	246590,851	2,46590851	14,88289972	7	Adriatic Sea,Levantine Sea,Tunisian Plateau/Gulf of Sidra,Ionian Sea,Aegean Sea,Alboran Sea,Western Mediterranean																	
Posidonia ostenfeldii	Posidoniaceae	149909,2549	Temperate	114,1581702	125,2777737	-36,30015447	-32,67940386	119,717972	11,1196035	-34,48977917	149909,2549	1,499092549	3,62075061	3	Great Australian Bight,Leeuwin																	
Posidonia sinuosa	Posidoniaceae	431512,5223	Temperate	112,6867373	139,5669651	-37,19934837	-27,00617465	126,1268512	26,8802278	-32,10276151	431512,5223	4,315125223	10,19317372	6	Great Australian Bight,Houtman,Leeuwin,Shark Bay,South Australian Gulfs,Western Bassian																	
Syringodium filiforme	Cymodoceaceae	2777527,583	Tropical	-97,86716461	-58,5220605	7,89865494	33,29315519	-78,19461256	39,34510411	20,59590507	2777527,583	27,77527583	25,39450025	13	Bahamian,Bermuda,Carolinian,Chiapas-Nicaragua,Eastern Caribbean,Floridian,Guianan,Northern Gulf of Mexico,Southern Caribbean,Southern Gulf of Mexico,Southwestern Caribbean,Western Caribbean,Greater Antilles																	
